-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
=================================================================================================
| <http://purl.org/voc/vrank#hasRank>                                 | 933            | 3906   |
| <http://www.w3.org/2000/01/rdf-schema#label>                        | 931            | 45742  |
| <http://dbpedia.org/ontology/abstract>                              | 931            | 38641  |
| <http://www.w3.org/2002/07/owl#sameAs>                              | 931            | 88384  |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                    | 931            | 3904   |
| <http://www.w3.org/ns/prov#wasDerivedFrom>                          | 931            | 3904   |
| <http://www.w3.org/2000/01/rdf-schema#comment>                      | 931            | 38641  |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                        | 931            | 3904   |
| <http://purl.org/dc/terms/subject>                                  | 931            | 32486  |
| <http://dbpedia.org/ontology/wikiPageID>                            | 931            | 3904   |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                   | 930            | 151944 |
| <http://dbpedia.org/ontology/thumbnail>                             | 907            | 3875   |
| <http://xmlns.com/foaf/0.1/depiction>                               | 907            | 3875   |
| <http://dbpedia.org/ontology/wikiPageExternalLink>                  | 904            | 34149  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                      | 862            | 4399   |
| <http://www.georss.org/georss/point>                                | 862            | 4443   |
| <http://www.w3.org/2003/01/geo/wgs84_pos#geometry>                  | 862            | 5814   |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                       | 862            | 4415   |
| <http://xmlns.com/foaf/0.1/name>                                    | 811            | 5174   |
| <http://xmlns.com/foaf/0.1/homepage>                                | 743            | 3674   |
| <http://dbpedia.org/ontology/populationTotal>                       | 717            | 3215   |
| <http://dbpedia.org/ontology/country>                               | 693            | 3190   |
| <http://dbpedia.org/ontology/areaTotal>                             | 640            | 3744   |
| <http://dbpedia.org/ontology/PopulatedPlace/areaTotal>              | 636            | 3740   |
| <http://dbpedia.org/ontology/leaderTitle>                           | 591            | 7829   |
| <http://www.w3.org/2000/01/rdf-schema#seeAlso>                      | 573            | 17788  |
| <http://dbpedia.org/property/leaderTitle>                           | 567            | 7735   |
| <http://dbpedia.org/ontology/timeZone>                              | 541            | 4038   |
| <http://dbpedia.org/property/subdivisionName>                       | 518            | 5456   |
| <http://dbpedia.org/property/populationTotal>                       | 505            | 2236   |
| <http://dbpedia.org/ontology/isPartOf>                              | 499            | 3981   |
| <http://dbpedia.org/ontology/utcOffset>                             | 487            | 3726   |
| <http://dbpedia.org/property/utcOffset>                             | 484            | 2076   |
| <http://dbpedia.org/property/name>                                  | 480            | 2277   |
| <http://dbpedia.org/ontology/areaCode>                              | 477            | 2322   |
| <http://dbpedia.org/ontology/postalCode>                            | 475            | 2286   |
| <http://dbpedia.org/property/areaTotalKm>                           | 465            | 2371   |
| <http://dbpedia.org/property/timezone>                              | 465            | 2215   |
| <http://dbpedia.org/ontology/elevation>                             | 463            | 2232   |
| <http://dbpedia.org/property/leaderName>                            | 437            | 9193   |
| <http://dbpedia.org/property/areaCode>                              | 425            | 1975   |
| <http://dbpedia.org/property/postalCode>                            | 424            | 2015   |
| <http://dbpedia.org/property/website>                               | 408            | 1805   |
| <http://dbpedia.org/property/elevationM>                            | 388            | 1593   |
| <http://dbpedia.org/ontology/leaderName>                            | 370            | 7387   |
| <http://dbpedia.org/property/officialName>                          | 367            | 1304   |
| <http://dbpedia.org/ontology/type>                                  | 331            | 1178   |
| <http://dbpedia.org/property/settlementType>                        | 323            | 1108   |
| <http://dbpedia.org/ontology/populationDensity>                     | 296            | 2630   |
| <http://dbpedia.org/ontology/PopulatedPlace/populationDensity>      | 296            | 2630   |
| <http://dbpedia.org/property/populationDensityKm>                   | 275            | 1909   |
| <http://dbpedia.org/ontology/populationMetro>                       | 261            | 1555   |
| <http://dbpedia.org/property/populationMetro>                       | 248            | 1509   |
| <http://xmlns.com/foaf/0.1/nick>                                    | 240            | 1919   |
| <http://dbpedia.org/property/nickname>                              | 238            | 1739   |
| <http://dbpedia.org/ontology/governmentType>                        | 227            | 1997   |
| <http://dbpedia.org/property/governmentType>                        | 227            | 2526   |
| <http://dbpedia.org/ontology/foundingDate>                          | 219            | 1236   |
| <http://dbpedia.org/property/wordnet_type>                          | 217            | 1305   |
| <http://dbpedia.org/property/establishedDate>                       | 215            | 1236   |
| <http://dbpedia.org/property/utcOffsetDst>                          | 215            | 1566   |
| <http://dbpedia.org/property/timezoneDst>                           | 204            | 1499   |
| <http://dbpedia.org/property/nativeName>                            | 180            | 872    |
| <http://dbpedia.org/ontology/motto>                                 | 171            | 1658   |
| <http://dbpedia.org/ontology/populationUrban>                       | 155            | 1256   |
| <http://dbpedia.org/property/populationUrban>                       | 150            | 1218   |
| <http://dbpedia.org/property/motto>                                 | 143            | 1187   |
| <http://dbpedia.org/ontology/areaMetro>                             | 132            | 502    |
| <http://dbpedia.org/ontology/PopulatedPlace/areaMetro>              | 132            | 502    |
| <http://dbpedia.org/property/populationDensitySqMi>                 | 125            | 573    |
| <http://dbpedia.org/property/population>                            | 121            | 489    |
| <http://dbpedia.org/property/areaMetroKm>                           | 120            | 422    |
| <http://dbpedia.org/property/areaKm>                                | 113            | 592    |
| <http://dbpedia.org/ontology/populationTotalRanking>                | 112            | 575    |
| <http://dbpedia.org/property/elevationFt>                           | 110            | 456    |
| <http://dbpedia.org/property/populationRank>                        | 110            | 573    |
| <http://dbpedia.org/ontology/demonym>                               | 103            | 779    |
| <http://dbpedia.org/property/capital>                               | 102            | 552    |
| <http://dbpedia.org/ontology/capital>                               | 102            | 545    |
| <http://dbpedia.org/property/demonym>                               | 101            | 672    |
| <http://dbpedia.org/ontology/language>                              | 98             | 1705   |
| <http://dbpedia.org/ontology/percentageOfAreaWater>                 | 97             | 500    |
| <http://dbpedia.org/ontology/leaderParty>                           | 97             | 490    |
| <http://dbpedia.org/property/region>                                | 95             | 344    |
| <http://dbpedia.org/property/commonName>                            | 94             | 514    |
| <http://dbpedia.org/ontology/populationAsOf>                        | 93             | 393    |
| <http://dbpedia.org/ontology/maximumElevation>                      | 92             | 287    |
| <http://dbpedia.org/ontology/leader>                                | 92             | 1661   |
| <http://dbpedia.org/ontology/areaLand>                              | 92             | 320    |
| <http://dbpedia.org/property/conventionalLongName>                  | 92             | 493    |
| <http://dbpedia.org/property/imageFlag>                             | 88             | 506    |
| <http://dbpedia.org/property/currency>                              | 88             | 511    |
| <http://dbpedia.org/ontology/currency>                              | 88             | 548    |
| <http://dbpedia.org/ontology/flag>                                  | 88             | 506    |
| <http://dbpedia.org/ontology/minimumElevation>                      | 84             | 262    |
| <http://dbpedia.org/ontology/longName>                              | 83             | 471    |
| <http://dbpedia.org/property/leaderParty>                           | 80             | 389    |
| <http://dbpedia.org/ontology/areaWater>                             | 80             | 290    |
| <http://dbpedia.org/property/areaSqMi>                              | 80             | 437    |
| <http://dbpedia.org/property/areaTotalSqMi>                         | 79             | 232    |
| <http://dbpedia.org/ontology/areaUrban>                             | 78             | 840    |
| <http://dbpedia.org/ontology/PopulatedPlace/areaUrban>              | 78             | 840    |
| <http://dbpedia.org/property/officialLanguages>                     | 76             | 604    |
| <http://dbpedia.org/ontology/officialLanguage>                      | 76             | 574    |
| <http://dbpedia.org/property/timeZone>                              | 75             | 440    |
| <http://dbpedia.org/property/populationEstimate>                    | 74             | 440    |
| <http://dbpedia.org/property/areaUrbanKm>                           | 74             | 812    |
| <http://dbpedia.org/ontology/region>                                | 73             | 218    |
| <http://dbpedia.org/property/areaLandKm>                            | 71             | 197    |
| <http://dbpedia.org/property/percentWater>                          | 69             | 377    |
| <http://dbpedia.org/property/populationAsOf>                        | 69             | 315    |
| <http://dbpedia.org/ontology/area>                                  | 68             | 240    |
| <http://dbpedia.org/ontology/PopulatedPlace/area>                   | 68             | 240    |
| <http://dbpedia.org/ontology/anthem>                                | 65             | 427    |
| <http://dbpedia.org/property/otherName>                             | 62             | 271    |
| <http://dbpedia.org/ontology/synonym>                               | 62             | 271    |
| <http://dbpedia.org/property/areaWaterKm>                           | 59             | 178    |
| <http://dbpedia.org/property/elevationMaxM>                         | 59             | 160    |
| <http://dbpedia.org/property/nationalAnthem>                        | 59             | 776    |
| <http://dbpedia.org/ontology/largestCity>                           | 54             | 265    |
| <http://dbpedia.org/property/mayor>                                 | 54             | 212    |
| <http://dbpedia.org/property/elevation>                             | 53             | 191    |
| <http://dbpedia.org/property/elevationMinM>                         | 52             | 145    |
| <http://dbpedia.org/ontology/isoCodeRegion>                         | 51             | 158    |
| <http://dbpedia.org/property/governingBody>                         | 50             | 466    |
| <http://dbpedia.org/property/country>                               | 49             | 270    |
| <http://dbpedia.org/property/ethnicGroups>                          | 49             | 2309   |
| <http://dbpedia.org/property/areaMagnitude>                         | 48             | 168    |
| <http://dbpedia.org/ontology/ethnicGroup>                           | 48             | 1421   |
| <http://dbpedia.org/property/isoCode>                               | 47             | 145    |
| <http://dbpedia.org/property/areaLandSqMi>                          | 46             | 100    |
| <http://dbpedia.org/ontology/governingBody>                         | 46             | 455    |
| <http://dbpedia.org/property/languages>                             | 45             | 445    |
| <http://dbpedia.org/property/areaWaterSqMi>                         | 44             | 95     |
| <http://dbpedia.org/property/utcOffset1Dst>                         | 42             | 120    |
| <http://dbpedia.org/ontology/part>                                  | 42             | 2098   |
| <http://dbpedia.org/property/p>                                     | 41             | 2090   |
| <http://www.w3.org/2002/07/owl#differentFrom>                       | 40             | 163    |
| <http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity> | 40             | 155    |
| <http://dbpedia.org/ontology/populationMetroDensity>                | 40             | 155    |
| <http://dbpedia.org/property/largestCity>                           | 40             | 238    |
| <http://dbpedia.org/property/populationDensityMetroKm>              | 40             | 149    |
| <http://dbpedia.org/property/area>                                  | 40             | 143    |
| <http://dbpedia.org/property/ethnicGroupsYear>                      | 37             | 181    |
| <http://dbpedia.org/ontology/ethnicGroupsInYear>                    | 37             | 181    |
| <http://dbpedia.org/property/dialCode>                              | 34             | 206    |
| <http://dbpedia.org/property/id>                                    | 33             | 129    |
| <http://dbpedia.org/ontology/mayor>                                 | 33             | 118    |
| <http://dbpedia.org/property/timezone1Dst>                          | 33             | 107    |
| <http://dbpedia.org/property/postcodeDistrict>                      | 33             | 202    |
| <http://dbpedia.org/ontology/gridReference>                         | 32             | 196    |
| <http://dbpedia.org/property/osGridReference>                       | 32             | 196    |
| <http://dbpedia.org/ontology/district>                              | 32             | 79     |
| <http://www.w3.org/2004/02/skos/core#exactMatch>                    | 30             | 178    |
| <http://dbpedia.org/property/founder>                               | 29             | 92     |
| <http://dbpedia.org/property/areaWaterPercent>                      | 28             | 109    |
| <http://dbpedia.org/ontology/founder>                               | 28             | 93     |
| <http://dbpedia.org/property/areaMetroSqMi>                         | 27             | 68     |
| <http://dbpedia.org/property/licence>                               | 27             | 81     |
| <http://dbpedia.org/property/state>                                 | 26             | 108    |
| <http://dbpedia.org/property/district>                              | 24             | 71     |
| <http://dbpedia.org/property/link>                                  | 24             | 56     |
| <http://dbpedia.org/property/bürgermeistertitel>                    | 24             | 74     |
| <http://dbpedia.org/property/nationalMotto>                         | 23             | 151    |
| <http://dbpedia.org/property/populationDensityUrbanKm>              | 22             | 89     |
| <http://dbpedia.org/ontology/populationUrbanDensity>                | 22             | 90     |
| <http://dbpedia.org/ontology/PopulatedPlace/populationUrbanDensity> | 22             | 90     |
| <http://dbpedia.org/property/stand>                                 | 21             | 67     |
| <http://dbpedia.org/ontology/federalState>                          | 19             | 64     |
| <http://dbpedia.org/property/insee>                                 | 18             | 69     |
| <http://dbpedia.org/ontology/inseeCode>                             | 18             | 69     |
| <http://dbpedia.org/ontology/twinTown>                              | 17             | 111    |
| <http://dbpedia.org/ontology/distanceToLondon>                      | 17             | 164    |
| <http://dbpedia.org/ontology/daylightSavingTimeZone>                | 17             | 55     |
| <http://dbpedia.org/ontology/regionalLanguage>                      | 15             | 313    |
| <http://dbpedia.org/property/regionalLanguages>                     | 15             | 341    |
| <http://dbpedia.org/property/twin>                                  | 15             | 89     |
| <http://dbpedia.org/property/elevationMaxFt>                        | 14             | 36     |
| <http://dbpedia.org/property/river>                                 | 13             | 48     |
| <http://dbpedia.org/property/popMetro>                              | 13             | 46     |
| <http://dbpedia.org/ontology/river>                                 | 13             | 48     |
| <http://dbpedia.org/property/code>                                  | 13             | 15     |
| <http://dbpedia.org/ontology/code>                                  | 13             | 15     |
