-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
=================================================================================================
| <http://www.w3.org/2000/01/rdf-schema#label>                        | 429            | 60948  |
| <http://dbpedia.org/ontology/abstract>                              | 429            | 46434  |
| <http://www.w3.org/2002/07/owl#sameAs>                              | 429            | 128093 |
| <http://purl.org/voc/vrank#hasRank>                                 | 429            | 5098   |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                    | 429            | 5098   |
| <http://www.w3.org/ns/prov#wasDerivedFrom>                          | 429            | 5098   |
| <http://www.w3.org/2000/01/rdf-schema#comment>                      | 429            | 46434  |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                        | 429            | 5098   |
| <http://purl.org/dc/terms/subject>                                  | 429            | 53724  |
| <http://dbpedia.org/ontology/wikiPageID>                            | 429            | 5098   |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                   | 428            | 161147 |
| <http://dbpedia.org/ontology/thumbnail>                             | 426            | 5095   |
| <http://xmlns.com/foaf/0.1/depiction>                               | 426            | 5095   |
| <http://dbpedia.org/ontology/wikiPageExternalLink>                  | 418            | 73330  |
| <http://xmlns.com/foaf/0.1/name>                                    | 367            | 5686   |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                      | 366            | 6593   |
| <http://www.georss.org/georss/point>                                | 366            | 6631   |
| <http://www.w3.org/2003/01/geo/wgs84_pos#geometry>                  | 366            | 11367  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                       | 366            | 6618   |
| <http://dbpedia.org/ontology/areaTotal>                             | 352            | 6750   |
| <http://dbpedia.org/ontology/PopulatedPlace/areaTotal>              | 352            | 6750   |
| <http://www.w3.org/2000/01/rdf-schema#seeAlso>                      | 330            | 29252  |
| <http://xmlns.com/foaf/0.1/homepage>                                | 300            | 4161   |
| <http://dbpedia.org/property/capital>                               | 277            | 4471   |
| <http://dbpedia.org/ontology/capital>                               | 277            | 4394   |
| <http://dbpedia.org/ontology/leaderTitle>                           | 273            | 8678   |
| <http://dbpedia.org/property/leaderTitle>                           | 272            | 8643   |
| <http://dbpedia.org/ontology/populationTotal>                       | 270            | 2544   |
| <http://dbpedia.org/property/leaderName>                            | 260            | 8647   |
| <http://dbpedia.org/ontology/demonym>                               | 244            | 5054   |
| <http://dbpedia.org/property/demonym>                               | 238            | 4580   |
| <http://dbpedia.org/ontology/governmentType>                        | 234            | 4538   |
| <http://dbpedia.org/property/governmentType>                        | 234            | 6993   |
| <http://dbpedia.org/ontology/language>                              | 225            | 10995  |
| <http://dbpedia.org/ontology/timeZone>                              | 217            | 2714   |
| <http://dbpedia.org/property/currency>                              | 216            | 2943   |
| <http://dbpedia.org/ontology/currency>                              | 216            | 3091   |
| <http://dbpedia.org/property/conventionalLongName>                  | 216            | 2578   |
| <http://dbpedia.org/ontology/leader>                                | 215            | 8250   |
| <http://dbpedia.org/property/commonName>                            | 215            | 2729   |
| <http://dbpedia.org/ontology/populationDensity>                     | 214            | 4635   |
| <http://dbpedia.org/ontology/PopulatedPlace/populationDensity>      | 214            | 4635   |
| <http://dbpedia.org/ontology/foundingDate>                          | 211            | 4731   |
| <http://dbpedia.org/property/populationDensityKm>                   | 206            | 2462   |
| <http://dbpedia.org/property/areaKm>                                | 196            | 2554   |
| <http://dbpedia.org/property/imageFlag>                             | 195            | 2643   |
| <http://dbpedia.org/ontology/flag>                                  | 195            | 2643   |
| <http://dbpedia.org/property/establishedDate>                       | 186            | 4662   |
| <http://dbpedia.org/ontology/longName>                              | 186            | 2378   |
| <http://dbpedia.org/property/populationDensitySqMi>                 | 183            | 2167   |
| <http://dbpedia.org/property/areaSqMi>                              | 177            | 2281   |
| <http://dbpedia.org/ontology/anthem>                                | 170            | 2218   |
| <http://dbpedia.org/property/officialLanguages>                     | 167            | 3338   |
| <http://dbpedia.org/ontology/officialLanguage>                      | 167            | 3226   |
| <http://dbpedia.org/ontology/country>                               | 164            | 2034   |
| <http://dbpedia.org/property/populationEstimate>                    | 163            | 2153   |
