-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
=================================================================================================
| <http://purl.org/voc/vrank#hasRank>                                 | 4933           | 27132  |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                        | 4835           | 27019  |
| <http://www.w3.org/2000/01/rdf-schema#label>                        | 4835           | 264689 |
| <http://dbpedia.org/ontology/wikiPageID>                            | 4835           | 27019  |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                    | 4835           | 27019  |
| <http://www.w3.org/ns/prov#wasDerivedFrom>                          | 4835           | 27019  |
| <http://www.w3.org/2002/07/owl#sameAs>                              | 4834           | 502317 |
| <http://www.w3.org/2000/01/rdf-schema#comment>                      | 4831           | 232102 |
| <http://dbpedia.org/ontology/abstract>                              | 4831           | 232102 |
| <http://purl.org/dc/terms/subject>                                  | 4826           | 235641 |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                   | 4818           | 862320 |
| <http://www.georss.org/georss/point>                                | 4432           | 31391  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                       | 4432           | 31359  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                      | 4432           | 31304  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#geometry>                  | 4432           | 43332  |
| <http://dbpedia.org/ontology/wikiPageExternalLink>                  | 4380           | 246685 |
| <http://xmlns.com/foaf/0.1/depiction>                               | 4357           | 25815  |
| <http://dbpedia.org/ontology/thumbnail>                             | 4357           | 25813  |
| <http://xmlns.com/foaf/0.1/name>                                    | 3708           | 30224  |
| <http://xmlns.com/foaf/0.1/homepage>                                | 3091           | 21656  |
| <http://dbpedia.org/ontology/country>                               | 2177           | 11216  |
| <http://dbpedia.org/ontology/populationTotal>                       | 2163           | 14105  |
| <http://dbpedia.org/property/name>                                  | 2093           | 12279  |
| <http://dbpedia.org/ontology/areaTotal>                             | 1914           | 21305  |
| <http://dbpedia.org/ontology/PopulatedPlace/areaTotal>              | 1895           | 21268  |
| <http://dbpedia.org/ontology/postalCode>                            | 1666           | 7801   |
| <http://dbpedia.org/ontology/timeZone>                              | 1617           | 11524  |
| <http://dbpedia.org/property/subdivisionName>                       | 1580           | 18806  |
| <http://dbpedia.org/ontology/areaCode>                              | 1566           | 8104   |
| <http://dbpedia.org/ontology/isPartOf>                              | 1561           | 17626  |
| <http://dbpedia.org/property/populationTotal>                       | 1548           | 7361   |
| <http://dbpedia.org/property/website>                               | 1507           | 8360   |
| <http://dbpedia.org/property/postalCode>                            | 1500           | 6998   |
| <http://dbpedia.org/ontology/leaderTitle>                           | 1492           | 33097  |
| <http://dbpedia.org/property/timezone>                              | 1478           | 6938   |
| <http://dbpedia.org/ontology/utcOffset>                             | 1473           | 12488  |
| <http://dbpedia.org/property/utcOffset>                             | 1467           | 6840   |
| <http://dbpedia.org/property/leaderTitle>                           | 1465           | 32951  |
| <http://dbpedia.org/ontology/elevation>                             | 1427           | 9806   |
| <http://dbpedia.org/property/areaTotalKm>                           | 1421           | 6415   |
| <http://dbpedia.org/property/areaCode>                              | 1398           | 7117   |
| <http://dbpedia.org/ontology/location>                              | 1387           | 12773  |
| <http://www.w3.org/2000/01/rdf-schema#seeAlso>                      | 1354           | 87051  |
| <http://dbpedia.org/property/location>                              | 1347           | 11609  |
| <http://dbpedia.org/ontology/type>                                  | 1346           | 6791   |
| <http://dbpedia.org/property/officialName>                          | 1261           | 7156   |
| <http://dbpedia.org/property/settlementType>                        | 1226           | 6183   |
| <http://dbpedia.org/property/elevationM>                            | 1189           | 5529   |
| <http://dbpedia.org/property/wordnet_type>                          | 1136           | 5524   |
| <http://dbpedia.org/property/utcOffsetDst>                          | 994            | 4931   |
| <http://dbpedia.org/property/leaderName>                            | 986            | 29703  |
| <http://dbpedia.org/ontology/populationDensity>                     | 980            | 15072  |
| <http://dbpedia.org/ontology/PopulatedPlace/populationDensity>      | 980            | 15072  |
| <http://xmlns.com/foaf/0.1/nick>                                    | 933            | 7708   |
| <http://dbpedia.org/property/nickname>                              | 930            | 7310   |
| <http://dbpedia.org/ontology/leaderName>                            | 866            | 10273  |
| <http://dbpedia.org/property/populationDensityKm>                   | 836            | 8136   |
| <http://dbpedia.org/ontology/areaLand>                              | 834            | 6958   |
| <http://dbpedia.org/ontology/areaWater>                             | 790            | 6540   |
| <http://dbpedia.org/ontology/tenant>                                | 745            | 13603  |
| <http://dbpedia.org/property/timezoneDst>                           | 742            | 4140   |
| <http://dbpedia.org/property/elevationFt>                           | 740            | 3807   |
| <http://dbpedia.org/property/tenants>                               | 729            | 12432  |
| <http://dbpedia.org/property/areaLandKm>                            | 693            | 2911   |
| <http://dbpedia.org/property/owner>                                 | 686            | 4063   |
| <http://dbpedia.org/property/areaTotalSqMi>                         | 663            | 3587   |
| <http://dbpedia.org/property/areaWaterKm>                           | 651            | 2795   |
| <http://dbpedia.org/ontology/governmentType>                        | 631            | 11130  |
| <http://dbpedia.org/property/governmentType>                        | 631            | 17516  |
| <http://dbpedia.org/property/areaLandSqMi>                          | 607            | 3356   |
| <http://dbpedia.org/property/areaWaterSqMi>                         | 602            | 3315   |
| <http://dbpedia.org/property/stadiumName>                           | 587            | 2803   |
| <http://dbpedia.org/property/populationDensitySqMi>                 | 575            | 6848   |
| <http://dbpedia.org/ontology/foundingDate>                          | 574            | 14625  |
| <http://dbpedia.org/property/establishedDate>                       | 557            | 14856  |
| <http://dbpedia.org/ontology/populationMetro>                       | 541            | 4080   |
| <http://dbpedia.org/ontology/buildingStartDate>                     | 535            | 2912   |
| <http://dbpedia.org/property/populationMetro>                       | 530            | 3998   |
| <http://dbpedia.org/ontology/motto>                                 | 494            | 5833   |
| <http://dbpedia.org/ontology/openingDate>                           | 476            | 2078   |
| <http://dbpedia.org/property/opened>                                | 463            | 2109   |
| <http://dbpedia.org/ontology/owner>                                 | 459            | 3443   |
| <http://dbpedia.org/property/motto>                                 | 441            | 3617   |
| <http://dbpedia.org/property/population>                            | 419            | 1834   |
| <http://dbpedia.org/property/brokeGround>                           | 373            | 2177   |
| <http://dbpedia.org/property/operator>                              | 360            | 1263   |
| <http://dbpedia.org/property/formerNames>                           | 356            | 2601   |
| <http://dbpedia.org/ontology/cost>                                  | 355            | 2218   |
| <http://dbpedia.org/ontology/operator>                              | 353            | 1258   |
| <http://dbpedia.org/property/nativeName>                            | 338            | 2080   |
| <http://dbpedia.org/ontology/percentageOfAreaWater>                 | 329            | 5359   |
| <http://dbpedia.org/ontology/populationTotalRanking>                | 320            | 3476   |
| <http://dbpedia.org/property/populationRank>                        | 316            | 3456   |
| <http://dbpedia.org/property/constructionCost>                      | 312            | 1767   |
| <http://dbpedia.org/ontology/formerName>                            | 298            | 2482   |
| <http://dbpedia.org/property/architect>                             | 293            | 2120   |
| <http://dbpedia.org/ontology/architect>                             | 291            | 2178   |
| <http://dbpedia.org/ontology/populationUrban>                       | 290            | 2864   |
| <http://dbpedia.org/property/populationUrban>                       | 284            | 2826   |
| <http://dbpedia.org/property/region>                                | 280            | 1648   |
| <http://dbpedia.org/ontology/area>                                  | 271            | 1995   |
| <http://dbpedia.org/ontology/PopulatedPlace/area>                   | 261            | 1984   |
| <http://dbpedia.org/property/areaKm>                                | 257            | 5687   |
| <http://dbpedia.org/ontology/seatingCapacity>                       | 255            | 2073   |
| <http://dbpedia.org/property/capacity>                              | 255            | 2052   |
| <http://dbpedia.org/property/fullname>                              | 248            | 1415   |
| <http://dbpedia.org/ontology/region>                                | 246            | 1043   |
| <http://dbpedia.org/ontology/leaderParty>                           | 242            | 1297   |
| <http://dbpedia.org/ontology/buildingEndDate>                       | 241            | 763    |
| <http://dbpedia.org/property/built>                                 | 239            | 744    |
| <http://dbpedia.org/ontology/populationAsOf>                        | 238            | 1586   |
| <http://dbpedia.org/ontology/capital>                               | 226            | 6270   |
| <http://dbpedia.org/property/capital>                               | 226            | 6324   |
| <http://dbpedia.org/ontology/maximumElevation>                      | 222            | 2183   |
| <http://dbpedia.org/ontology/demonym>                               | 209            | 7955   |
| <http://dbpedia.org/property/areaWaterPercent>                      | 202            | 1361   |
| <http://dbpedia.org/property/leaderParty>                           | 202            | 905    |
| <http://dbpedia.org/property/demonym>                               | 201            | 6992   |
| <http://dbpedia.org/ontology/minimumElevation>                      | 201            | 1873   |
| <http://dbpedia.org/property/populationAsOf>                        | 192            | 1311   |
| <http://dbpedia.org/ontology/language>                              | 190            | 16104  |
| <http://dbpedia.org/ontology/PopulatedPlace/areaMetro>              | 186            | 2199   |
| <http://dbpedia.org/ontology/areaMetro>                             | 186            | 2199   |
| <http://dbpedia.org/ontology/leader>                                | 183            | 18539  |
| <http://dbpedia.org/property/areaMagnitude>                         | 180            | 1531   |
| <http://www.w3.org/2002/07/owl#differentFrom>                       | 160            | 1727   |
| <http://dbpedia.org/property/areaMetroKm>                           | 160            | 1341   |
| <http://dbpedia.org/property/conventionalLongName>                  | 159            | 4827   |
| <http://dbpedia.org/property/commonName>                            | 157            | 5160   |
| <http://dbpedia.org/ontology/currency>                              | 152            | 5200   |
| <http://dbpedia.org/property/currency>                              | 152            | 4652   |
| <http://dbpedia.org/ontology/flag>                                  | 151            | 5157   |
| <http://dbpedia.org/property/imageFlag>                             | 151            | 5157   |
