-------------------------------------------------------------------------------------------------
| yProperty                                                           | yCountDistinct | yCount |
=================================================================================================
| <http://purl.org/voc/vrank#hasRank>                                 | 9665           | 24982  |
| <http://xmlns.com/foaf/0.1/isPrimaryTopicOf>                        | 9290           | 24598  |
| <http://www.w3.org/2000/01/rdf-schema#label>                        | 9290           | 253949 |
| <http://dbpedia.org/ontology/wikiPageID>                            | 9290           | 24598  |
| <http://dbpedia.org/ontology/wikiPageRevisionID>                    | 9290           | 24598  |
| <http://www.w3.org/ns/prov#wasDerivedFrom>                          | 9290           | 24598  |
| <http://www.w3.org/2002/07/owl#sameAs>                              | 9287           | 457654 |
| <http://www.w3.org/2000/01/rdf-schema#comment>                      | 9258           | 221625 |
| <http://dbpedia.org/ontology/abstract>                              | 9258           | 221625 |
| <http://purl.org/dc/terms/subject>                                  | 9245           | 190101 |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                   | 9163           | 669397 |
| <http://xmlns.com/foaf/0.1/depiction>                               | 8090           | 23220  |
| <http://dbpedia.org/ontology/thumbnail>                             | 8090           | 23185  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#lat>                       | 7568           | 26271  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#long>                      | 7568           | 26277  |
| <http://www.w3.org/2003/01/geo/wgs84_pos#geometry>                  | 7568           | 38332  |
| <http://www.georss.org/georss/point>                                | 7560           | 26321  |
| <http://dbpedia.org/ontology/wikiPageExternalLink>                  | 7217           | 175967 |
| <http://xmlns.com/foaf/0.1/name>                                    | 6724           | 29183  |
| <http://dbpedia.org/ontology/country>                               | 5457           | 12873  |
| <http://dbpedia.org/ontology/populationTotal>                       | 4732           | 13565  |
| <http://xmlns.com/foaf/0.1/homepage>                                | 3935           | 11745  |
| <http://dbpedia.org/property/name>                                  | 3858           | 7647   |
| <http://dbpedia.org/ontology/areaTotal>                             | 3783           | 19425  |
| <http://dbpedia.org/ontology/PopulatedPlace/areaTotal>              | 3693           | 18959  |
| <http://dbpedia.org/property/subdivisionName>                       | 3223           | 12192  |
| <http://dbpedia.org/ontology/isPartOf>                              | 3124           | 9710   |
| <http://dbpedia.org/property/populationTotal>                       | 3086           | 5887   |
| <http://dbpedia.org/ontology/postalCode>                            | 2881           | 4801   |
| <http://dbpedia.org/ontology/timeZone>                              | 2809           | 11251  |
| <http://dbpedia.org/ontology/utcOffset>                             | 2623           | 7565   |
| <http://dbpedia.org/property/utcOffset>                             | 2612           | 4789   |
| <http://dbpedia.org/property/timezone>                              | 2606           | 4561   |
| <http://dbpedia.org/ontology/elevation>                             | 2586           | 5101   |
| <http://dbpedia.org/property/postalCode>                            | 2580           | 4346   |
| <http://dbpedia.org/property/areaTotalKm>                           | 2484           | 5086   |
| <http://dbpedia.org/ontology/areaCode>                              | 2413           | 4554   |
| <http://dbpedia.org/ontology/leaderTitle>                           | 2221           | 23507  |
| <http://www.w3.org/2000/01/rdf-schema#seeAlso>                      | 2202           | 52960  |
| <http://dbpedia.org/property/leaderTitle>                           | 2164           | 23242  |
| <http://dbpedia.org/property/areaCode>                              | 2123           | 3861   |
| <http://dbpedia.org/ontology/type>                                  | 2096           | 4311   |
| <http://dbpedia.org/property/elevationM>                            | 2087           | 3692   |
| <http://dbpedia.org/property/officialName>                          | 1996           | 3563   |
| <http://dbpedia.org/property/website>                               | 1931           | 3992   |
| <http://dbpedia.org/property/settlementType>                        | 1881           | 3627   |
| <http://dbpedia.org/property/wordnet_type>                          | 1634           | 2869   |
| <http://dbpedia.org/property/nativeName>                            | 1626           | 6298   |
| <http://dbpedia.org/ontology/populationDensity>                     | 1371           | 12648  |
| <http://dbpedia.org/ontology/PopulatedPlace/populationDensity>      | 1371           | 12648  |
| <http://dbpedia.org/property/utcOffsetDst>                          | 1290           | 2061   |
| <http://dbpedia.org/property/leaderName>                            | 1196           | 21554  |
| <http://dbpedia.org/property/population>                            | 1082           | 2144   |
| <http://dbpedia.org/property/timezoneDst>                           | 1054           | 1718   |
| <http://dbpedia.org/ontology/leaderName>                            | 997            | 4569   |
| <http://dbpedia.org/property/populationDensityKm>                   | 965            | 6740   |
| <http://dbpedia.org/ontology/areaLand>                              | 889            | 2025   |
| <http://dbpedia.org/ontology/capital>                               | 865            | 10289  |
| <http://dbpedia.org/property/capital>                               | 862            | 10390  |
| <http://dbpedia.org/property/commonName>                            | 854            | 7838   |
| <http://dbpedia.org/ontology/governmentType>                        | 830            | 11467  |
| <http://dbpedia.org/property/governmentType>                        | 827            | 16757  |
| <http://dbpedia.org/ontology/foundingDate>                          | 824            | 9964   |
| <http://dbpedia.org/ontology/areaWater>                             | 812            | 1819   |
| <http://dbpedia.org/property/conventionalLongName>                  | 798            | 8188   |
| <http://dbpedia.org/property/areaKm>                                | 743            | 6793   |
| <http://dbpedia.org/property/areaTotalSqMi>                         | 698            | 1184   |
| <http://dbpedia.org/property/region>                                | 657            | 1236   |
| <http://dbpedia.org/property/areaLandSqMi>                          | 642            | 1006   |
| <http://dbpedia.org/property/areaWaterSqMi>                         | 637            | 1000   |
| <http://dbpedia.org/ontology/foundingYear>                          | 618            | 2167   |
| <http://dbpedia.org/ontology/region>                                | 597            | 951    |
| <http://dbpedia.org/ontology/percentageOfAreaWater>                 | 580            | 5110   |
| <http://dbpedia.org/property/state>                                 | 566            | 1071   |
| <http://dbpedia.org/ontology/motto>                                 | 563            | 4677   |
| <http://dbpedia.org/ontology/maximumElevation>                      | 547            | 1474   |
| <http://xmlns.com/foaf/0.1/nick>                                    | 540            | 1679   |
| <http://dbpedia.org/property/nickname>                              | 537            | 1543   |
| <http://dbpedia.org/ontology/largestCity>                           | 535            | 3709   |
| <http://dbpedia.org/property/establishedDate>                       | 534            | 8778   |
| <http://dbpedia.org/property/elevationFt>                           | 511            | 855    |
| <http://dbpedia.org/ontology/populationAsOf>                        | 497            | 925    |
| <http://dbpedia.org/ontology/area>                                  | 490            | 833    |
| <http://dbpedia.org/ontology/leaderParty>                           | 490            | 1064   |
| <http://dbpedia.org/ontology/minimumElevation>                      | 481            | 1224   |
| <http://dbpedia.org/property/yearEnd>                               | 474            | 1898   |
| <http://dbpedia.org/ontology/PopulatedPlace/area>                   | 472            | 811    |
| <http://dbpedia.org/property/yearStart>                             | 472            | 1894   |
| <http://dbpedia.org/ontology/currency>                              | 467            | 9116   |
| <http://dbpedia.org/property/currency>                              | 467            | 8678   |
| <http://dbpedia.org/ontology/state>                                 | 466            | 933    |
| <http://dbpedia.org/property/country>                               | 465            | 1282   |
| <http://dbpedia.org/property/areaLandKm>                            | 458            | 647    |
| <http://dbpedia.org/ontology/dissolutionYear>                       | 455            | 1867   |
| <http://dbpedia.org/property/populationDensitySqMi>                 | 439            | 5301   |
| <http://dbpedia.org/property/location>                              | 430            | 1221   |
| <http://dbpedia.org/ontology/location>                              | 427            | 1462   |
| <http://dbpedia.org/property/elevationMaxM>                         | 415            | 790    |
| <http://dbpedia.org/ontology/populationMetro>                       | 415            | 1036   |
| <http://dbpedia.org/property/motto>                                 | 402            | 1253   |
| <http://dbpedia.org/property/populationMetro>                       | 401            | 1001   |
| <http://dbpedia.org/property/leaderParty>                           | 397            | 1008   |
| <http://dbpedia.org/property/areaWaterKm>                           | 386            | 533    |
| <http://dbpedia.org/property/elevationMinM>                         | 367            | 614    |
| <http://dbpedia.org/ontology/populationTotalRanking>                | 364            | 1140   |
| <http://dbpedia.org/property/otherName>                             | 362            | 918    |
| <http://dbpedia.org/property/populationRank>                        | 362            | 1129   |
| <http://dbpedia.org/property/county>                                | 360            | 613    |
| <http://dbpedia.org/property/pop>                                   | 357            | 610    |
| <http://www.w3.org/2002/07/owl#differentFrom>                       | 355            | 2028   |
| <http://dbpedia.org/ontology/synonym>                               | 348            | 944    |
| <http://dbpedia.org/ontology/censusYear>                            | 342            | 588    |
| <http://dbpedia.org/property/area>                                  | 337            | 786    |
| <http://dbpedia.org/property/areaPercentage>                        | 335            | 580    |
| <http://dbpedia.org/ontology/inseeCode>                             | 334            | 491    |
| <http://dbpedia.org/property/insee>                                 | 334            | 491    |
| <http://dbpedia.org/ontology/anthem>                                | 330            | 5070   |
| <http://dbpedia.org/ontology/countySeat>                            | 326            | 568    |
| <http://dbpedia.org/ontology/district>                              | 318            | 465    |
| <http://dbpedia.org/property/elevation>                             | 317            | 431    |
| <http://dbpedia.org/property/populationAsOf>                        | 317            | 590    |
| <http://dbpedia.org/ontology/populationUrban>                       | 315            | 694    |
| <http://dbpedia.org/property/populationUrban>                       | 309            | 674    |
| <http://dbpedia.org/ontology/isoCodeRegion>                         | 308            | 1055   |
| <http://dbpedia.org/property/seatWl>                                | 307            | 521    |
| <http://dbpedia.org/property/largestCityWl>                         | 306            | 527    |
| <http://dbpedia.org/property/utcOffset1Dst>                         | 298            | 812    |
