-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	932	205628
http://www.w3.org/2002/07/owl#sameAs	933	117123
http://www.w3.org/2000/01/rdf-schema#label	933	61414
http://dbpedia.org/ontology/abstract	933	53044
http://www.w3.org/2000/01/rdf-schema#comment	933	53044
http://dbpedia.org/ontology/wikiPageExternalLink	898	44965
http://purl.org/dc/terms/subject	932	43573
http://www.w3.org/2000/01/rdf-schema#seeAlso	592	25621
http://dbpedia.org/property/leaderName	453	11703
http://dbpedia.org/ontology/leaderTitle	626	10144
http://dbpedia.org/property/leaderTitle	604	10053
http://dbpedia.org/ontology/leaderName	420	9576
http://dbpedia.org/property/subdivisionName	592	8676
http://dbpedia.org/ontology/isPartOf	590	7456
http://xmlns.com/foaf/0.1/name	839	7422
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	865	7137
http://dbpedia.org/ontology/utcOffset	567	6410
http://www.georss.org/georss/point	865	5720
http://www.w3.org/2003/01/geo/wgs84_pos#lat	865	5694
http://www.w3.org/2003/01/geo/wgs84_pos#long	865	5675
http://dbpedia.org/ontology/areaTotal	691	5394
http://dbpedia.org/ontology/PopulatedPlace/areaTotal	691	5394
http://dbpedia.org/ontology/timeZone	606	5369
http://xmlns.com/foaf/0.1/homepage	798	5290
http://purl.org/voc/vrank#hasRank	934	5245
http://dbpedia.org/ontology/wikiPageRevisionID	933	5244
http://www.w3.org/ns/prov#wasDerivedFrom	933	5244
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	933	5244
http://dbpedia.org/ontology/wikiPageID	933	5244
http://dbpedia.org/ontology/thumbnail	918	5227
http://xmlns.com/foaf/0.1/depiction	918	5227
http://dbpedia.org/ontology/country	729	4471
http://dbpedia.org/ontology/populationTotal	747	4412
http://dbpedia.org/ontology/elevation	542	3959
http://dbpedia.org/property/name	509	3590
http://dbpedia.org/ontology/populationDensity	373	3574
http://dbpedia.org/ontology/PopulatedPlace/populationDensity	373	3574
http://dbpedia.org/ontology/areaCode	570	3535
http://dbpedia.org/property/populationTotal	583	3530
http://dbpedia.org/property/timezone	558	3530
http://dbpedia.org/property/establishedDate	234	3381
http://dbpedia.org/property/utcOffset	563	3361
http://dbpedia.org/ontology/postalCode	556	3339
http://dbpedia.org/property/areaCode	534	3215
http://dbpedia.org/property/areaTotalKm	509	3193
http://dbpedia.org/ontology/foundingDate	236	3170
http://dbpedia.org/property/governmentType	268	3136
http://dbpedia.org/property/postalCode	522	3093
http://dbpedia.org/property/website	491	2917
http://xmlns.com/foaf/0.1/nick	298	2742
http://dbpedia.org/property/officialName	476	2662
http://dbpedia.org/ontology/governmentType	268	2654
http://dbpedia.org/property/utcOffsetDst	373	2556
http://dbpedia.org/ontology/language	85	2546
http://dbpedia.org/ontology/type	436	2531
http://dbpedia.org/property/nickname	298	2522
http://dbpedia.org/property/elevationM	452	2459
http://dbpedia.org/property/timezoneDst	328	2411
http://dbpedia.org/ontology/motto	206	2367
http://dbpedia.org/property/settlementType	422	2364
http://dbpedia.org/ontology/populationMetro	312	2319
http://dbpedia.org/property/ethnicGroups	35	2280
http://dbpedia.org/property/populationMetro	300	2271
http://dbpedia.org/property/populationDensityKm	311	2232
http://dbpedia.org/property/p	28	2186
http://dbpedia.org/ontology/part	29	2170
http://dbpedia.org/ontology/populationUrban	184	2040
http://dbpedia.org/ontology/areaWater	263	2003
http://dbpedia.org/property/populationUrban	178	2000
http://dbpedia.org/ontology/areaLand	271	1984
http://dbpedia.org/property/motto	188	1981
http://dbpedia.org/ontology/populationTotalRanking	159	1569
http://dbpedia.org/property/populationRank	157	1562
http://dbpedia.org/property/wordnet_type	188	1508
http://dbpedia.org/property/elevationFt	254	1346
http://dbpedia.org/ontology/leader	58	1342
http://dbpedia.org/ontology/areaUrban	78	1245
http://dbpedia.org/ontology/PopulatedPlace/areaUrban	78	1245
http://dbpedia.org/ontology/ethnicGroup	34	1245
