--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	75	15360
http://dbpedia.org/ontology/wikiPageExternalLink	74	13904
http://www.w3.org/2002/07/owl#sameAs	75	13801
http://purl.org/dc/terms/subject	75	6666
http://www.w3.org/2000/01/rdf-schema#label	75	5652
http://dbpedia.org/ontology/abstract	75	3988
http://www.w3.org/2000/01/rdf-schema#comment	75	3988
http://www.w3.org/2000/01/rdf-schema#seeAlso	71	3302
http://dbpedia.org/property/ethnicGroups	34	2084
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	73	1685
http://dbpedia.org/property/leaderName	67	1628
http://dbpedia.org/ontology/leader	65	1624
http://dbpedia.org/property/leaderTitle	67	1603
http://dbpedia.org/ontology/leaderTitle	67	1603
http://dbpedia.org/ontology/ethnicGroup	34	1376
http://dbpedia.org/property/governmentType	66	1212
http://dbpedia.org/ontology/language	64	1204
http://www.georss.org/georss/point	73	869
http://www.w3.org/2003/01/geo/wgs84_pos#lat	73	869
http://www.w3.org/2003/01/geo/wgs84_pos#long	73	868
http://dbpedia.org/ontology/areaTotal	68	850
http://dbpedia.org/ontology/PopulatedPlace/areaTotal	68	850
http://dbpedia.org/property/nationalAnthem	42	820
http://dbpedia.org/ontology/populationDensity	62	782
http://dbpedia.org/ontology/PopulatedPlace/populationDensity	62	782
http://dbpedia.org/property/establishedDate	50	692
http://dbpedia.org/ontology/foundingDate	53	686
http://dbpedia.org/ontology/governmentType	66	671
http://dbpedia.org/property/officialLanguages	54	641
http://dbpedia.org/ontology/demonym	63	608
http://xmlns.com/foaf/0.1/name	70	538
http://dbpedia.org/property/demonym	63	527
http://dbpedia.org/ontology/officialLanguage	54	500
http://purl.org/voc/vrank#hasRank	75	471
http://dbpedia.org/ontology/wikiPageRevisionID	75	471
http://www.w3.org/ns/prov#wasDerivedFrom	75	471
http://dbpedia.org/ontology/thumbnail	75	471
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	75	471
http://dbpedia.org/ontology/wikiPageID	75	471
http://xmlns.com/foaf/0.1/depiction	75	471
http://dbpedia.org/property/capital	68	453
http://dbpedia.org/ontology/capital	68	447
http://dbpedia.org/property/imageFlag	65	437
http://dbpedia.org/ontology/flag	65	437
http://dbpedia.org/property/commonName	66	436
http://dbpedia.org/property/areaKm	65	436
http://dbpedia.org/ontology/anthem	42	427
http://dbpedia.org/ontology/populationTotal	60	420
http://dbpedia.org/property/regionalLanguages	13	418
http://dbpedia.org/property/populationEstimate	56	413
http://dbpedia.org/property/areaSqMi	58	406
http://dbpedia.org/property/populationDensityKm	61	403
http://dbpedia.org/property/conventionalLongName	64	391
http://dbpedia.org/ontology/longName	61	387
http://dbpedia.org/ontology/regionalLanguage	13	386
http://dbpedia.org/property/populationDensitySqMi	55	375
http://dbpedia.org/ontology/percentageOfAreaWater	51	375
http://dbpedia.org/property/percentWater	50	371
http://xmlns.com/foaf/0.1/homepage	47	367
http://dbpedia.org/ontology/currency	65	340
http://dbpedia.org/property/languages	28	329
http://dbpedia.org/property/currency	65	325
http://dbpedia.org/ontology/largestCity	28	285
http://dbpedia.org/property/largestCity	26	280
http://dbpedia.org/property/timeZone	59	258
http://dbpedia.org/ontology/timeZone	60	258
http://dbpedia.org/ontology/motto	15	193
http://dbpedia.org/property/nationalMotto	15	187
http://dbpedia.org/property/nativeName	19	120
http://www.w3.org/2004/02/skos/core#exactMatch	20	117
http://dbpedia.org/property/ethnicGroupsYear	29	93
http://dbpedia.org/ontology/ethnicGroupsInYear	29	93
http://dbpedia.org/property/title	2	58
http://dbpedia.org/ontology/soundRecording	2	58
http://dbpedia.org/property/filename	2	58
http://www.w3.org/2002/07/owl#differentFrom	11	54
http://dbpedia.org/property/royalAnthem	1	30
http://dbpedia.org/ontology/map	1	28
http://dbpedia.org/property/imageMap	1	28
http://dbpedia.org/property/description	1	8
http://dbpedia.org/ontology/country	3	7
http://dbpedia.org/property/wordnet_type	2	6
http://rdvocab.info/RDARelationshipsWEMI/manifestationOfWork	1	6
http://dbpedia.org/property/areaTotalSqMi	1	4
http://dbpedia.org/property/seatWl	1	4
http://dbpedia.org/property/areaLandSqMi	1	4
http://dbpedia.org/property/name	3	4
http://dbpedia.org/ontology/foundingYear	3	4
http://dbpedia.org/ontology/areaWater	1	4
http://dbpedia.org/property/largestCityWl	1	4
http://dbpedia.org/ontology/dissolutionDate	3	4
http://dbpedia.org/property/areaWaterSqMi	1	4
http://dbpedia.org/property/censusYr	1	4
http://dbpedia.org/ontology/largestSettlement	1	4
http://dbpedia.org/property/densitySqMi	1	4
http://dbpedia.org/ontology/dissolutionYear	3	4
http://dbpedia.org/property/largestSettlement	1	4
http://dbpedia.org/property/website	2	4
http://dbpedia.org/property/areaPercentage	1	4
http://dbpedia.org/ontology/countySeat	1	4
http://dbpedia.org/property/yearEnd	3	4
http://dbpedia.org/ontology/areaLand	1	4
