-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	2172	404737
http://www.w3.org/2002/07/owl#sameAs	2175	250980
http://dbpedia.org/ontology/wikiPageExternalLink	2035	131279
http://www.w3.org/2000/01/rdf-schema#label	2175	128401
http://www.w3.org/2000/01/rdf-schema#comment	2174	110567
http://dbpedia.org/ontology/abstract	2174	110567
http://purl.org/dc/terms/subject	2170	105305
http://www.w3.org/2000/01/rdf-schema#seeAlso	894	47525
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	2015	21927
http://dbpedia.org/ontology/leaderTitle	922	17395
http://dbpedia.org/property/leaderTitle	910	17322
http://www.georss.org/georss/point	2015	15555
http://www.w3.org/2003/01/geo/wgs84_pos#lat	2015	15541
http://www.w3.org/2003/01/geo/wgs84_pos#long	2015	15513
http://dbpedia.org/property/leaderName	636	15220
http://xmlns.com/foaf/0.1/name	1714	13605
http://purl.org/voc/vrank#hasRank	2204	13273
http://dbpedia.org/property/ethnicGroups	65	13241
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	2175	13233
http://dbpedia.org/ontology/wikiPageID	2175	13233
http://dbpedia.org/ontology/wikiPageRevisionID	2175	13233
http://www.w3.org/ns/prov#wasDerivedFrom	2175	13233
http://xmlns.com/foaf/0.1/depiction	2035	12638
http://dbpedia.org/ontology/thumbnail	2035	12638
http://dbpedia.org/ontology/areaTotal	1187	11016
http://dbpedia.org/ontology/PopulatedPlace/areaTotal	1175	10999
http://xmlns.com/foaf/0.1/homepage	1547	10588
http://dbpedia.org/ontology/leader	131	10584
http://dbpedia.org/property/governmentType	445	9429
http://dbpedia.org/property/subdivisionName	971	9410
http://dbpedia.org/ontology/isPartOf	968	8650
http://dbpedia.org/ontology/language	148	8523
http://dbpedia.org/ontology/populationDensity	670	7835
http://dbpedia.org/ontology/PopulatedPlace/populationDensity	669	7829
http://dbpedia.org/ontology/ethnicGroup	65	7726
http://dbpedia.org/ontology/foundingDate	397	7476
http://dbpedia.org/property/establishedDate	379	7470
http://dbpedia.org/ontology/populationTotal	1338	7311
http://dbpedia.org/ontology/country	1334	6006
http://dbpedia.org/property/name	1094	5965
http://dbpedia.org/ontology/governmentType	445	5860
http://dbpedia.org/ontology/utcOffset	918	5592
http://dbpedia.org/ontology/timeZone	1041	5496
http://dbpedia.org/ontology/elevation	857	4654
http://dbpedia.org/ontology/leaderName	539	4515
http://dbpedia.org/property/website	858	4373
http://dbpedia.org/ontology/demonym	158	4371
http://dbpedia.org/property/populationDensityKm	574	4351
http://dbpedia.org/ontology/areaCode	985	4195
http://dbpedia.org/property/nationalAnthem	79	4132
http://dbpedia.org/ontology/location	209	4068
http://dbpedia.org/ontology/postalCode	1020	4038
http://dbpedia.org/property/demonym	155	3771
http://dbpedia.org/property/location	196	3703
http://dbpedia.org/property/officialLanguages	97	3663
http://dbpedia.org/property/officialName	800	3558
http://dbpedia.org/property/areaCode	886	3468
http://dbpedia.org/property/postalCode	921	3432
http://dbpedia.org/property/capital	174	3424
http://dbpedia.org/property/populationDensitySqMi	399	3422
http://dbpedia.org/property/populationTotal	955	3405
http://dbpedia.org/ontology/capital	174	3394
http://dbpedia.org/ontology/areaLand	551	3281
http://dbpedia.org/property/areaTotalKm	866	3224
http://dbpedia.org/property/p	56	3206
http://dbpedia.org/property/timezone	937	3197
http://dbpedia.org/property/areaKm	174	3168
http://dbpedia.org/ontology/part	60	3164
http://dbpedia.org/ontology/type	846	3132
http://dbpedia.org/property/utcOffset	913	3087
http://dbpedia.org/ontology/motto	357	3009
http://dbpedia.org/ontology/areaWater	522	2990
http://dbpedia.org/ontology/officialLanguage	97	2927
http://dbpedia.org/ontology/currency	114	2909
http://dbpedia.org/property/commonName	119	2863
http://dbpedia.org/ontology/flag	113	2855
http://dbpedia.org/property/imageFlag	113	2855
http://dbpedia.org/property/settlementType	770	2820
http://xmlns.com/foaf/0.1/nick	414	2734
http://dbpedia.org/ontology/percentageOfAreaWater	224	2708
http://dbpedia.org/property/conventionalLongName	119	2683
http://dbpedia.org/property/elevationM	717	2607
http://dbpedia.org/property/currency	114	2592
http://dbpedia.org/property/nickname	412	2541
http://dbpedia.org/ontology/longName	107	2540
http://dbpedia.org/property/areaSqMi	103	2497
http://dbpedia.org/property/populationEstimate	93	2486
http://dbpedia.org/ontology/anthem	94	2476
http://dbpedia.org/property/utcOffsetDst	640	2361
http://dbpedia.org/ontology/largestCity	97	2356
http://dbpedia.org/property/languages	63	2355
http://dbpedia.org/property/regionalLanguages	19	2281
http://dbpedia.org/ontology/twinCountry	15	2252
http://dbpedia.org/ontology/soundRecording	7	2233
http://dbpedia.org/property/filename	7	2233
http://dbpedia.org/property/title	7	2233
http://dbpedia.org/ontology/regionalLanguage	19	2215
http://dbpedia.org/property/twin1Country	7	2203
http://dbpedia.org/property/percentWater	89	2066
http://dbpedia.org/property/largestCity	49	2008
http://dbpedia.org/property/timezoneDst	488	1901
http://dbpedia.org/property/wordnet_type	359	1851
http://dbpedia.org/property/timeZone	103	1820
http://dbpedia.org/property/motto	314	1818
http://dbpedia.org/ontology/populationMetro	374	1798
http://dbpedia.org/property/elevationFt	488	1764
http://dbpedia.org/property/populationMetro	365	1757
http://dbpedia.org/property/areaTotalSqMi	445	1643
http://dbpedia.org/ontology/populationTotalRanking	222	1577
http://dbpedia.org/property/populationRank	219	1561
http://dbpedia.org/property/areaLandSqMi	405	1556
http://dbpedia.org/property/areaWaterSqMi	402	1517
http://dbpedia.org/property/areaLandKm	446	1463
http://dbpedia.org/property/areaWaterKm	418	1346
http://dbpedia.org/ontology/populationUrban	202	1199
http://dbpedia.org/property/populationUrban	198	1178
http://dbpedia.org/property/population	244	1174
http://dbpedia.org/property/owner	68	1157
http://dbpedia.org/ontology/owner	65	1138
http://dbpedia.org/property/nativeName	225	1119
http://www.w3.org/2004/02/skos/core#exactMatch	49	1116
http://dbpedia.org/ontology/PopulatedPlace/areaMetro	134	960
http://dbpedia.org/ontology/areaMetro	134	960
http://dbpedia.org/ontology/area	173	915
http://dbpedia.org/ontology/PopulatedPlace/area	166	903
http://dbpedia.org/property/nationalMotto	33	887
http://dbpedia.org/ontology/maximumElevation	156	881
http://dbpedia.org/ontology/minimumElevation	146	854
http://dbpedia.org/property/region	172	853
http://dbpedia.org/ontology/areaUrban	100	767
http://dbpedia.org/ontology/PopulatedPlace/areaUrban	100	767
http://dbpedia.org/ontology/populationAsOf	133	741
http://www.w3.org/2002/07/owl#differentFrom	86	734
http://dbpedia.org/ontology/ethnicGroupsInYear	52	721
http://dbpedia.org/property/ethnicGroupsYear	52	721
http://dbpedia.org/ontology/leaderParty	134	659
http://dbpedia.org/property/areaMagnitude	119	657
http://dbpedia.org/ontology/region	147	627
http://dbpedia.org/property/county	26	614
http://dbpedia.org/property/areaWaterPercent	124	614
http://dbpedia.org/property/areaMetroKm	111	607
http://dbpedia.org/property/governingBody	84	595
http://dbpedia.org/property/populationAsOf	112	581
http://dbpedia.org/ontology/governingBody	80	565
http://dbpedia.org/property/areaUrbanKm	86	528
http://dbpedia.org/property/postcodeDistrict	85	475
http://dbpedia.org/property/dialCode	85	473
http://dbpedia.org/ontology/gridReference	84	470
http://dbpedia.org/property/osGridReference	84	470
http://dbpedia.org/property/country	109	395
http://dbpedia.org/property/leaderParty	109	394
http://dbpedia.org/ontology/name	36	392
http://dbpedia.org/property/totalarea	49	382
http://dbpedia.org/property/areaMetroSqMi	48	352
http://dbpedia.org/ontology/district	62	346
http://dbpedia.org/property/fullname	40	342
http://dbpedia.org/property/highestelev	39	341
http://dbpedia.org/property/elevationMaxM	84	341
http://dbpedia.org/property/lowestelev	39	341
http://dbpedia.org/property/pop	44	330
http://dbpedia.org/property/officiallang	25	324
http://dbpedia.org/property/elevationMinM	77	301
http://dbpedia.org/property/area	42	288
http://dbpedia.org/property/largestcity	29	285
http://dbpedia.org/property/landarea	33	262
http://dbpedia.org/property/waterarea	32	256
http://dbpedia.org/ontology/twinTown	19	254
http://dbpedia.org/property/twin	17	246
http://dbpedia.org/property/mayor	52	241
http://dbpedia.org/property/royalAnthem	3	240
http://dbpedia.org/property/areaUrbanSqMi	31	239
http://dbpedia.org/property/elevation	38	236
http://dbpedia.org/ontology/inseeCode	46	235
http://dbpedia.org/property/insee	46	235
http://dbpedia.org/ontology/saint	22	233
http://dbpedia.org/property/saint	22	233
http://dbpedia.org/property/id	36	227
http://dbpedia.org/property/state	85	221
http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity	41	216
http://dbpedia.org/ontology/populationUrbanDensity	30	216
