-------------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
=================================================================================================
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	5302	335227
http://www.w3.org/2002/07/owl#sameAs	5372	228183
http://www.w3.org/2000/01/rdf-schema#label	5374	127129
http://www.w3.org/2000/01/rdf-schema#comment	5359	110797
http://dbpedia.org/ontology/abstract	5359	110797
http://purl.org/dc/terms/subject	5354	95490
http://dbpedia.org/ontology/wikiPageExternalLink	4275	89165
http://www.w3.org/2000/01/rdf-schema#seeAlso	1480	26662
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	4377	19289
http://xmlns.com/foaf/0.1/name	4001	15099
http://www.georss.org/georss/point	4371	13204
http://www.w3.org/2003/01/geo/wgs84_pos#long	4377	13187
http://www.w3.org/2003/01/geo/wgs84_pos#lat	4377	13185
http://purl.org/voc/vrank#hasRank	5565	12447
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	5374	12251
http://dbpedia.org/ontology/wikiPageID	5374	12251
http://dbpedia.org/ontology/wikiPageRevisionID	5374	12251
http://www.w3.org/ns/prov#wasDerivedFrom	5374	12251
http://dbpedia.org/ontology/leaderTitle	1376	11768
http://dbpedia.org/property/leaderTitle	1347	11630
http://xmlns.com/foaf/0.1/depiction	4765	11575
http://dbpedia.org/ontology/thumbnail	4765	11556
http://dbpedia.org/property/leaderName	814	10901
http://dbpedia.org/property/ethnicGroups	148	9912
http://dbpedia.org/ontology/areaTotal	2319	9769
http://dbpedia.org/ontology/PopulatedPlace/areaTotal	2275	9564
http://dbpedia.org/property/governmentType	607	8554
http://dbpedia.org/ontology/leader	222	8401
http://dbpedia.org/ontology/language	252	7627
http://dbpedia.org/ontology/populationTotal	2793	6864
http://dbpedia.org/ontology/populationDensity	904	6477
http://dbpedia.org/ontology/PopulatedPlace/populationDensity	903	6465
http://dbpedia.org/ontology/country	3138	6384
http://dbpedia.org/property/subdivisionName	1882	6229
http://dbpedia.org/ontology/governmentType	609	5861
http://xmlns.com/foaf/0.1/homepage	2333	5729
http://dbpedia.org/ontology/ethnicGroup	146	5524
http://dbpedia.org/ontology/timeZone	1665	5511
http://dbpedia.org/property/capital	661	5388
http://dbpedia.org/ontology/capital	664	5329
http://dbpedia.org/ontology/isPartOf	1818	5008
http://dbpedia.org/ontology/foundingDate	596	4953
http://dbpedia.org/property/nationalAnthem	236	4920
http://dbpedia.org/ontology/currency	390	4648
http://dbpedia.org/property/currency	390	4411
http://dbpedia.org/property/conventionalLongName	611	4301
http://dbpedia.org/property/establishedDate	376	4276
http://dbpedia.org/property/commonName	647	4080
http://dbpedia.org/ontology/demonym	260	3927
http://dbpedia.org/ontology/utcOffset	1517	3738
http://dbpedia.org/property/name	2161	3658
http://dbpedia.org/property/demonym	250	3582
http://dbpedia.org/property/populationDensityKm	615	3395
http://dbpedia.org/property/areaKm	498	3389
http://dbpedia.org/property/nativeName	1053	3339
http://dbpedia.org/property/languages	101	3218
http://dbpedia.org/property/officialLanguages	176	3125
http://dbpedia.org/ontology/longName	195	2992
http://dbpedia.org/property/populationTotal	1780	2928
http://dbpedia.org/ontology/officialLanguage	176	2908
http://dbpedia.org/ontology/flag	197	2829
http://dbpedia.org/property/imageFlag	197	2829
http://dbpedia.org/ontology/anthem	271	2696
http://dbpedia.org/property/populationDensitySqMi	313	2654
http://dbpedia.org/property/areaSqMi	180	2638
http://dbpedia.org/ontology/percentageOfAreaWater	448	2622
http://dbpedia.org/ontology/elevation	1439	2512
http://dbpedia.org/property/populationEstimate	171	2507
http://dbpedia.org/property/timeZone	160	2479
http://dbpedia.org/property/areaTotalKm	1445	2468
http://dbpedia.org/ontology/motto	385	2416
http://dbpedia.org/property/utcOffset	1511	2372
http://dbpedia.org/ontology/postalCode	1589	2286
http://dbpedia.org/property/timezone	1494	2253
http://dbpedia.org/ontology/leaderName	640	2245
http://dbpedia.org/ontology/areaCode	1321	2153
http://dbpedia.org/ontology/type	1210	2143
http://dbpedia.org/ontology/largestCity	405	2141
