--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	614	89281
http://www.w3.org/2002/07/owl#sameAs	614	35860
http://purl.org/dc/terms/subject	615	31164
http://www.w3.org/2000/01/rdf-schema#label	615	25987
http://dbpedia.org/ontology/abstract	615	25808
http://www.w3.org/2000/01/rdf-schema#comment	615	25808
http://dbpedia.org/ontology/wikiPageExternalLink	479	8802
http://dbpedia.org/ontology/tenant	422	7809
http://dbpedia.org/property/tenants	421	6930
http://dbpedia.org/ontology/location	528	5106
http://dbpedia.org/property/location	528	4335
http://xmlns.com/foaf/0.1/name	503	3261
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	582	2966
http://www.georss.org/georss/point	582	2698
http://www.w3.org/2003/01/geo/wgs84_pos#long	582	2692
http://www.w3.org/2003/01/geo/wgs84_pos#lat	582	2692
http://purl.org/voc/vrank#hasRank	634	2658
http://dbpedia.org/ontology/wikiPageRevisionID	615	2637
http://www.w3.org/ns/prov#wasDerivedFrom	615	2637
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	615	2637
http://dbpedia.org/ontology/wikiPageID	615	2637
http://dbpedia.org/ontology/thumbnail	497	2433
http://xmlns.com/foaf/0.1/depiction	497	2433
http://dbpedia.org/ontology/buildingStartDate	270	1862
http://xmlns.com/foaf/0.1/homepage	192	1658
http://xmlns.com/foaf/0.1/nick	209	1636
http://dbpedia.org/property/owner	318	1627
http://dbpedia.org/property/nickname	206	1617
http://dbpedia.org/ontology/seatingCapacity	147	1583
http://dbpedia.org/property/wordnet_type	313	1570
http://dbpedia.org/property/capacity	148	1498
http://dbpedia.org/property/name	161	1472
http://dbpedia.org/property/stadiumName	321	1465
http://dbpedia.org/ontology/architect	96	1418
http://dbpedia.org/ontology/owner	218	1381
http://dbpedia.org/property/brokeGround	154	1282
http://dbpedia.org/ontology/cost	127	1253
http://dbpedia.org/property/architect	98	1186
http://dbpedia.org/property/formerNames	140	1085
http://dbpedia.org/property/opened	221	1085
http://dbpedia.org/ontology/openingDate	222	1071
http://dbpedia.org/ontology/formerName	126	1022
http://dbpedia.org/property/constructionCost	114	839
http://dbpedia.org/property/built	154	581
http://dbpedia.org/ontology/buildingEndDate	153	580
http://dbpedia.org/property/operator	158	516
http://dbpedia.org/ontology/operator	159	516
http://dbpedia.org/property/fullname	159	472
http://dbpedia.org/property/cost	12	429
http://www.w3.org/2002/07/owl#differentFrom	15	351
http://www.w3.org/2000/01/rdf-schema#seeAlso	34	326
http://dbpedia.org/ontology/engineer	24	264
http://dbpedia.org/property/website	48	235
http://dbpedia.org/property/closed	16	235
http://dbpedia.org/ontology/dateOfAbandonment	16	235
http://dbpedia.org/ontology/builder	34	196
http://dbpedia.org/property/generalContractor	27	175
http://dbpedia.org/property/structuralEngineer	23	157
http://dbpedia.org/property/time	11	156
http://dbpedia.org/property/servicesEngineer	6	108
http://dbpedia.org/property/subdivisionName	15	43
http://dbpedia.org/property/demolished	13	41
http://dbpedia.org/ontology/demolitionDate	13	41
http://dbpedia.org/ontology/isPartOf	14	35
http://dbpedia.org/ontology/country	22	27
http://dbpedia.org/ontology/utcOffset	11	25
http://dbpedia.org/property/leaderName	6	22
http://dbpedia.org/property/renovated	7	22
http://dbpedia.org/property/leaderTitle	8	21
http://dbpedia.org/ontology/leaderTitle	8	21
http://dbpedia.org/ontology/populationTotal	18	21
http://dbpedia.org/ontology/areaTotal	11	20
http://dbpedia.org/ontology/elevation	10	20
http://dbpedia.org/property/mainContractors	7	18
http://dbpedia.org/ontology/timeZone	11	18
http://dbpedia.org/ontology/PopulatedPlace/areaTotal	10	18
http://dbpedia.org/ontology/rebuildingDate	7	17
http://dbpedia.org/ontology/motto	10	17
http://dbpedia.org/ontology/areaCode	13	16
http://dbpedia.org/property/populationTotal	13	16
http://dbpedia.org/ontology/leaderName	6	15
http://dbpedia.org/ontology/type	10	14
http://dbpedia.org/ontology/postalCode	12	14
http://dbpedia.org/property/timezone	11	14
http://dbpedia.org/property/utcOffset	11	14
http://dbpedia.org/property/elevationM	10	13
http://dbpedia.org/property/motto	9	12
http://dbpedia.org/ontology/areaWater	6	12
http://dbpedia.org/property/areaTotalKm	9	12
http://dbpedia.org/ontology/areaLand	6	12
http://dbpedia.org/property/areaCode	9	12
http://dbpedia.org/property/officialName	10	11
http://dbpedia.org/property/timezoneDst	9	11
http://dbpedia.org/property/utcOffsetDst	9	11
http://dbpedia.org/property/postalCode	8	10
http://dbpedia.org/property/affiliations	2	9
http://dbpedia.org/ontology/populationDensity	7	9
http://dbpedia.org/ontology/populationUrban	8	9
http://dbpedia.org/property/populationUrban	8	9
http://dbpedia.org/ontology/PopulatedPlace/populationDensity	7	9
http://dbpedia.org/property/settlementType	7	9
http://dbpedia.org/ontology/affiliation	2	9
http://dbpedia.org/property/elevationFt	5	7
http://dbpedia.org/property/areaTotalSqMi	5	6
http://dbpedia.org/property/populationMetro	5	6
http://dbpedia.org/property/areaWaterKm	5	6
http://dbpedia.org/ontology/foundingDate	5	6
http://dbpedia.org/property/areaLandSqMi	5	6
http://dbpedia.org/ontology/populationMetro	5	6
http://dbpedia.org/ontology/governmentType	5	6
http://dbpedia.org/property/populationRank	5	6
http://dbpedia.org/property/areaWaterSqMi	5	6
http://dbpedia.org/property/governmentType	5	6
http://dbpedia.org/ontology/populationTotalRanking	5	6
http://dbpedia.org/property/areaLandKm	5	6
http://dbpedia.org/property/establishedDate	4	5
http://dbpedia.org/property/nativeName	4	5
http://dbpedia.org/property/type	3	5
http://dbpedia.org/property/populationDensityKm	4	5
http://dbpedia.org/property/otherName	2	4
http://dbpedia.org/ontology/gridReference	4	4
http://dbpedia.org/ontology/area	4	4
http://dbpedia.org/property/country	4	4
http://dbpedia.org/property/dialCode	4	4
http://dbpedia.org/ontology/synonym	2	4
http://dbpedia.org/property/population	4	4
http://dbpedia.org/property/osGridReference	4	4
http://dbpedia.org/property/postcodeDistrict	4	4
http://dbpedia.org/ontology/PopulatedPlace/area	4	4
http://dbpedia.org/property/populationDensitySqMi	3	3
http://dbpedia.org/property/areaUrbanKm	2	3
http://dbpedia.org/property/address	1	3
http://dbpedia.org/ontology/areaUrban	2	3
http://dbpedia.org/ontology/maximumElevation	2	3
http://dbpedia.org/property/areaMagnitude	3	3
http://dbpedia.org/property/city	3	3
http://dbpedia.org/property/populationRural	3	3
http://dbpedia.org/ontology/address	1	3
http://dbpedia.org/ontology/populationRural	3	3
http://dbpedia.org/ontology/PopulatedPlace/areaUrban	2	3
http://dbpedia.org/ontology/city	3	3
http://dbpedia.org/property/language	1	2
http://dbpedia.org/ontology/language	1	2
http://dbpedia.org/property/ground	1	2
http://dbpedia.org/ontology/minimumElevation	2	2
http://dbpedia.org/property/elevationMaxFt	2	2
http://dbpedia.org/property/unitaryScotland	2	2
http://dbpedia.org/ontology/distanceToEdinburgh	2	2
http://dbpedia.org/ontology/distanceToLondon	2	2
http://dbpedia.org/property/gaelicName	2	2
http://dbpedia.org/property/students	2	2
http://dbpedia.org/ontology/areaMetro	1	2
http://dbpedia.org/ontology/PopulatedPlace/areaMetro	1	2
http://dbpedia.org/property/region	1	2
http://dbpedia.org/ontology/councilArea	2	2
http://dbpedia.org/property/faculty	2	2
http://dbpedia.org/ontology/ground	1	2
http://dbpedia.org/ontology/facultySize	2	2
