--------------------------------------------------------------------------------------------	yProperty	yCountDistinct	yCount
============================================================================================
http://www.w3.org/1999/02/22-rdf-syntax-ns#type	871	65459
http://www.w3.org/2002/07/owl#sameAs	878	21018
http://purl.org/dc/terms/subject	878	20777
http://www.w3.org/2000/01/rdf-schema#label	878	12721
http://dbpedia.org/ontology/abstract	876	12660
http://www.w3.org/2000/01/rdf-schema#comment	876	12660
http://dbpedia.org/ontology/wikiPageExternalLink	798	5899
http://dbpedia.org/ontology/tenant	299	5151
http://dbpedia.org/property/tenants	289	4920
http://dbpedia.org/property/location	532	2991
http://dbpedia.org/ontology/location	539	2988
http://purl.org/voc/vrank#hasRank	916	2315
http://dbpedia.org/ontology/wikiPageRevisionID	878	2276
http://www.w3.org/ns/prov#wasDerivedFrom	878	2276
http://xmlns.com/foaf/0.1/isPrimaryTopicOf	878	2276
http://dbpedia.org/ontology/wikiPageID	878	2276
http://www.w3.org/2003/01/geo/wgs84_pos#geometry	798	2173
http://www.w3.org/2003/01/geo/wgs84_pos#long	798	2165
http://www.georss.org/georss/point	798	2165
http://www.w3.org/2003/01/geo/wgs84_pos#lat	798	2165
http://xmlns.com/foaf/0.1/name	606	2076
http://dbpedia.org/ontology/thumbnail	725	2008
http://xmlns.com/foaf/0.1/depiction	725	2008
http://dbpedia.org/property/formerNames	214	1393
http://xmlns.com/foaf/0.1/homepage	551	1368
http://dbpedia.org/ontology/formerName	177	1365
http://dbpedia.org/property/stadiumName	249	1224
http://dbpedia.org/property/owner	277	1098
http://dbpedia.org/ontology/buildingStartDate	245	930
http://dbpedia.org/property/wordnet_type	284	925
http://dbpedia.org/property/opened	229	902
http://dbpedia.org/ontology/openingDate	237	881
http://dbpedia.org/ontology/cost	218	867
http://dbpedia.org/property/constructionCost	191	846
http://dbpedia.org/property/architect	159	839
http://dbpedia.org/property/brokeGround	206	813
http://dbpedia.org/ontology/owner	162	802
http://xmlns.com/foaf/0.1/nick	154	688
http://dbpedia.org/ontology/architect	159	674
http://dbpedia.org/property/nickname	154	673
http://dbpedia.org/property/operator	182	642
http://dbpedia.org/ontology/operator	178	642
http://dbpedia.org/property/name	311	611
http://dbpedia.org/property/capacity	97	465
http://dbpedia.org/ontology/seatingCapacity	97	417
http://dbpedia.org/ontology/builder	80	380
http://dbpedia.org/property/generalContractor	75	357
http://dbpedia.org/ontology/engineer	64	350
http://dbpedia.org/property/website	148	297
http://dbpedia.org/property/structuralEngineer	61	250
http://dbpedia.org/property/address	49	184
http://dbpedia.org/ontology/address	49	179
http://dbpedia.org/ontology/type	74	151
http://dbpedia.org/ontology/runwayLength	40	148
http://dbpedia.org/ontology/buildingEndDate	76	138
http://dbpedia.org/property/type	59	138
http://www.w3.org/2002/07/owl#differentFrom	24	133
http://www.w3.org/2000/01/rdf-schema#seeAlso	43	131
http://dbpedia.org/property/built	64	115
http://dbpedia.org/property/servicesEngineer	16	103
http://dbpedia.org/ontology/affiliation	25	97
http://dbpedia.org/property/affiliations	24	93
http://dbpedia.org/ontology/runwayDesignation	40	86
http://dbpedia.org/ontology/elevation	50	86
http://dbpedia.org/property/cost	28	79
http://dbpedia.org/ontology/city	58	77
http://dbpedia.org/property/fullname	39	62
http://dbpedia.org/property/closed	22	59
http://dbpedia.org/ontology/dateOfAbandonment	22	58
http://dbpedia.org/ontology/runwaySurface	40	57
http://dbpedia.org/ontology/genre	11	57
http://dbpedia.org/ontology/country	44	54
http://dbpedia.org/property/city	36	51
http://dbpedia.org/property/elevationM	44	45
http://dbpedia.org/ontology/motto	27	45
http://dbpedia.org/property/r1Surface	42	44
http://dbpedia.org/ontology/icaoLocationIdentifier	39	43
http://dbpedia.org/property/r1Number	42	43
http://dbpedia.org/property/icao	41	42
http://dbpedia.org/property/elevationF	39	40
http://dbpedia.org/property/athletics	13	40
http://dbpedia.org/property/r1LengthF	38	39
http://dbpedia.org/property/r1LengthM	38	39
http://dbpedia.org/ontology/floorCount	25	38
http://dbpedia.org/property/iata	35	36
http://dbpedia.org/property/demolished	16	36
http://dbpedia.org/ontology/demolitionDate	16	36
http://dbpedia.org/ontology/numberOfStudents	26	35
http://dbpedia.org/property/r2Number	32	34
http://dbpedia.org/ontology/iataLocationIdentifier	33	34
http://dbpedia.org/property/students	25	34
http://dbpedia.org/property/completionDate	21	34
http://dbpedia.org/property/r2Surface	32	33
http://dbpedia.org/property/country	23	33
http://dbpedia.org/ontology/isPartOf	15	33
http://dbpedia.org/property/r2LengthF	32	33
http://dbpedia.org/property/subdivisionName	14	32
http://dbpedia.org/property/cityServed	26	32
http://dbpedia.org/property/keyPeople	6	30
http://dbpedia.org/property/state	23	30
http://dbpedia.org/property/genre	11	30
http://dbpedia.org/ontology/state	23	29
http://dbpedia.org/property/r2LengthM	28	29
http://dbpedia.org/property/label	1	28
http://dbpedia.org/property/leaderTitle	13	27
http://dbpedia.org/ontology/keyPerson	6	27
http://dbpedia.org/ontology/officialSchoolColour	24	27
http://dbpedia.org/property/motto	23	26
http://dbpedia.org/ontology/numberOfUndergraduateStudents	24	26
http://dbpedia.org/property/undergrad	24	26
http://dbpedia.org/ontology/athletics	13	26
http://dbpedia.org/property/mascot	18	25
http://dbpedia.org/ontology/mascot	18	25
http://dbpedia.org/ontology/recordLabel	1	24
http://dbpedia.org/ontology/industry	7	24
http://dbpedia.org/ontology/leaderTitle	10	23
http://dbpedia.org/property/foundation	10	23
http://dbpedia.org/property/numberOfRooms	15	22
