"p","callret-1"
"http://yago-knowledge.org/resource/hasWikipediaAnchorText",33096890
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type",6432156
"http://yago-knowledge.org/resource/linksTo",6354721
"http://www.w3.org/2000/01/rdf-schema#label",1904766
"http://yago-knowledge.org/resource/hasCitationTitle",1282979
"http://yago-knowledge.org/resource/redirectedFrom",941413
"http://www.w3.org/2004/02/skos/core#prefLabel",417306
"http://yago-knowledge.org/resource/infobox/en/type",328987
"http://www.w3.org/2002/07/owl#sameAs",301572
"http://yago-knowledge.org/resource/hasWikipediaUrl",259943
"http://yago-knowledge.org/resource/hasWikipediaArticleLength",186529
"http://yago-knowledge.org/resource/wasCreatedOnDate",166707
"http://yago-knowledge.org/resource/infobox/en/name",113578
"http://yago-knowledge.org/resource/infobox/en/country",109285
"http://yago-knowledge.org/resource/infobox/en/released",95604
"http://yago-knowledge.org/resource/happenedOnDate",94628
"http://yago-knowledge.org/resource/infobox/en/language",93201
"http://yago-knowledge.org/resource/isLocatedIn",92302
"http://yago-knowledge.org/resource/infobox/en/director",88701
"http://yago-knowledge.org/resource/infobox/en/starring",81549
"http://yago-knowledge.org/resource/infobox/en/runtime",76808
"http://yago-knowledge.org/resource/infobox/en/producer",72239
"http://yago-knowledge.org/resource/infobox/en/caption",69266
"http://yago-knowledge.org/resource/infobox/en/image",68425
"http://yago-knowledge.org/resource/infobox/en/writer",63665
"http://yago-knowledge.org/resource/infobox/en/cinematography",55296
"http://yago-knowledge.org/resource/infobox/en/music",52771
"http://yago-knowledge.org/resource/infobox/en/distributor",50347
"http://yago-knowledge.org/resource/infobox/en/editing",45882
"http://yago-knowledge.org/resource/happenedIn",41848
"http://yago-knowledge.org/resource/infobox/en/genre",32944
"http://yago-knowledge.org/resource/infobox/en/date",31234
"http://yago-knowledge.org/resource/infobox/en/title",29195
"http://yago-knowledge.org/resource/infobox/en/studio",26635
"http://yago-knowledge.org/resource/infobox/en/combatant",24114
"http://yago-knowledge.org/resource/infobox/en/commander",21870
"http://yago-knowledge.org/resource/infobox/en/shiplength",19754
"http://yago-knowledge.org/resource/infobox/en/location",19617
"http://yago-knowledge.org/resource/infobox/en/shipname",19518
"http://yago-knowledge.org/resource/infobox/en/shipbeam",19184
"http://yago-knowledge.org/resource/infobox/en/publisher",18873
"http://yago-knowledge.org/resource/wasDestroyedOnDate",18213
"http://yago-knowledge.org/resource/infobox/en/shipfate",18001
"http://yago-knowledge.org/resource/infobox/en/casualties",17905
"http://yago-knowledge.org/resource/infobox/en/strength",17769
"http://yago-knowledge.org/resource/infobox/en/showname",17540
"http://yago-knowledge.org/resource/infobox/en/party",17408
"http://yago-knowledge.org/resource/infobox/en/shipbuilder",17152
"http://yago-knowledge.org/resource/infobox/en/shiplaunched",16970
"http://yago-knowledge.org/resource/infobox/en/firstaired",16714
"http://yago-knowledge.org/resource/infobox/en/developer",16559
"http://yago-knowledge.org/resource/infobox/fr/type",16263
"http://yago-knowledge.org/resource/infobox/en/shipspeed",15579
"http://yago-knowledge.org/resource/infobox/en/shiparmament",15368
"http://yago-knowledge.org/resource/infobox/en/shipcountry",15332
"http://yago-knowledge.org/resource/infobox/en/shipflag",15279
"http://yago-knowledge.org/resource/infobox/en/lastaired",15182
"http://yago-knowledge.org/resource/infobox/en/shippropulsion",15103
"http://yago-knowledge.org/resource/infobox/en/platforms",15090
"http://yago-knowledge.org/resource/infobox/en/percentage",14993
"http://yago-knowledge.org/resource/infobox/en/gross",14396
