DataSet density: 0.60015572205083
Attributes densities:
Labels: 1.0
URIs: 1.0
Dates: 0.2532745702952843
Sames: 0.9812604671661525
Coordinates: 0.1367298369325694
Locations: 0.22966945791097398
Labels
bucket, recordCount for Labels
0, 0
1, 56725
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
URIs
bucket, recordCount for URIs
0, 0
1, 56725
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
Dates
bucket, recordCount for Dates
0, 42358
1, 13796
2, 415
3, 81
4, 18
5, 10
6, 9
7, 5
8, 7
9, 5
10, 2
11, 2
12, 1
13, 5
14, 0
15, 0
16, 1
17, 2
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 1
27, 0
28, 1
29, 0
30, 0
31, 1
32, 1
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 1
40, 0
41, 1
42, 1
43, 0
44, 0
45, 0
46, 1
47, 0
48, 0
49, 0
Sames
bucket, recordCount for Sames
0, 1063
1, 114
2, 1513
3, 4941
4, 19972
5, 8442
6, 5763
7, 3845
8, 2621
9, 1850
10, 1522
11, 1577
12, 989
13, 1018
14, 572
15, 421
16, 224
17, 181
18, 66
19, 20
20, 4
21, 4
22, 1
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 1
38, 1
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
Coordinates
bucket, recordCount for Coordinates
0, 48969
1, 7647
2, 33
3, 0
4, 76
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
Locations
bucket, recordCount for Locations
0, 43697
1, 4913
2, 5710
3, 1856
4, 363
5, 100
6, 39
7, 15
8, 13
9, 8
10, 7
11, 1
12, 0
13, 1
14, 1
15, 0
16, 0
17, 0
18, 1
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
